2024-06-04 06:06:44 status half-configured libavcodec-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:44 status installed libavcodec-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:45 configure libavformat-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4 <none>
2024-06-04 06:06:45 status unpacked libavformat-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:45 status half-configured libavformat-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:45 status installed libavformat-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:45 trigproc libc-bin:amd64 2.35-0ubuntu3.8 <none>
2024-06-04 06:06:45 status half-configured libc-bin:amd64 2.35-0ubuntu3.8
2024-06-04 06:06:47 status installed libc-bin:amd64 2.35-0ubuntu3.8
2024-06-07 10:41:24 startup archives unpack
2024-06-07 10:41:46 upgrade openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~22.04.1 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:41:46 status half-configured openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:46 status unpacked openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:46 status half-installed openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:47 status unpacked openjdk-11-jdk:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:41:47 upgrade openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~22.04.1 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:41:47 status half-configured openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:47 status unpacked openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:47 status half-installed openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:54 status unpacked openjdk-11-jdk-headless:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:41:55 upgrade openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~22.04.1 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:41:55 status half-configured openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:55 status unpacked openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:55 status half-installed openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:55 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2024-06-07 10:41:55 status triggers-pending gnome-menus:amd64 3.36.0-1ubuntu3
2024-06-07 10:41:55 status triggers-pending desktop-file-utils:amd64 0.26-1ubuntu3
2024-06-07 10:41:56 status triggers-pending hicolor-icon-theme:all 0.17-2
2024-06-07 10:41:57 status unpacked openjdk-11-jre:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:41:58 upgrade openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~22.04.1 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:41:58 status half-configured openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:58 status unpacked openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:41:58 status half-installed openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~22.04.1
2024-06-07 10:42:09 status unpacked openjdk-11-jre-headless:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:10 startup packages configure
2024-06-07 10:42:10 configure openjdk-11-jre-headless:amd64 11.0.23+9-1ubuntu1~22.04.1 <none>
2024-06-07 10:42:10 status unpacked openjdk-11-jre-headless:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:13 status half-configured openjdk-11-jre-headless:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:15 status installed openjdk-11-jre-headless:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:16 configure openjdk-11-jre:amd64 11.0.23+9-1ubuntu1~22.04.1 <none>
2024-06-07 10:42:16 status unpacked openjdk-11-jre:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:16 status half-configured openjdk-11-jre:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:16 status installed openjdk-11-jre:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:16 configure openjdk-11-jdk-headless:amd64 11.0.23+9-1ubuntu1~22.04.1 <none>
2024-06-07 10:42:16 status unpacked openjdk-11-jdk-headless:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:16 status half-configured openjdk-11-jdk-headless:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:17 status installed openjdk-11-jdk-headless:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:17 configure openjdk-11-jdk:amd64 11.0.23+9-1ubuntu1~22.04.1 <none>
2024-06-07 10:42:17 status unpacked openjdk-11-jdk:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:17 status half-configured openjdk-11-jdk:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:17 status installed openjdk-11-jdk:amd64 11.0.23+9-1ubuntu1~22.04.1
2024-06-07 10:42:17 trigproc desktop-file-utils:amd64 0.26-1ubuntu3 <none>
2024-06-07 10:42:17 status half-configured desktop-file-utils:amd64 0.26-1ubuntu3
2024-06-07 10:42:17 status installed desktop-file-utils:amd64 0.26-1ubuntu3
2024-06-07 10:42:17 trigproc hicolor-icon-theme:all 0.17-2 <none>
2024-06-07 10:42:17 status half-configured hicolor-icon-theme:all 0.17-2
2024-06-07 10:42:18 status installed hicolor-icon-theme:all 0.17-2
2024-06-07 10:42:18 trigproc gnome-menus:amd64 3.36.0-1ubuntu3 <none>
2024-06-07 10:42:18 status half-configured gnome-menus:amd64 3.36.0-1ubuntu3
2024-06-07 10:42:19 status installed gnome-menus:amd64 3.36.0-1ubuntu3
2024-06-07 10:42:19 trigproc mailcap:all 3.70+nmu1ubuntu1 <none>
2024-06-07 10:42:19 status half-configured mailcap:all 3.70+nmu1ubuntu1
2024-06-07 10:42:19 status installed mailcap:all 3.70+nmu1ubuntu1
2024-06-07 10:42:25 startup archives unpack
2024-06-07 10:42:26 upgrade libgdk-pixbuf2.0-common:all 2.42.8+dfsg-1ubuntu0.2 2.42.8+dfsg-1ubuntu0.3
2024-06-07 10:42:26 status half-configured libgdk-pixbuf2.0-common:all 2.42.8+dfsg-1ubuntu0.2
2024-06-07 10:42:26 status unpacked libgdk-pixbuf2.0-common:all 2.42.8+dfsg-1ubuntu0.2
2024-06-07 10:42:26 status half-installed libgdk-pixbuf2.0-common:all 2.42.8+dfsg-1ubuntu0.2
2024-06-07 10:42:26 status unpacked libgdk-pixbuf2.0-common:all 2.42.8+dfsg-1ubuntu0.3
2024-06-07 10:42:27 startup packages configure
2024-06-07 10:42:27 configure libgdk-pixbuf2.0-common:all 2.42.8+dfsg-1ubuntu0.3 <none>
2024-06-07 10:42:27 status unpacked libgdk-pixbuf2.0-common:all 2.42.8+dfsg-1ubuntu0.3
2024-06-07 10:42:27 status half-configured libgdk-pixbuf2.0-common:all 2.42.8+dfsg-1ubuntu0.3
2024-06-07 10:42:27 status installed libgdk-pixbuf2.0-common:all 2.42.8+dfsg-1ubuntu0.3
2024-06-07 10:42:33 startup archives unpack
2024-06-07 10:42:34 upgrade bluez-cups:amd64 5.64-0ubuntu1.1 5.64-0ubuntu1.3
2024-06-07 10:42:34 status half-configured bluez-cups:amd64 5.64-0ubuntu1.1
2024-06-07 10:42:34 status unpacked bluez-cups:amd64 5.64-0ubuntu1.1
2024-06-07 10:42:34 status half-installed bluez-cups:amd64 5.64-0ubuntu1.1
2024-06-07 10:42:35 status unpacked bluez-cups:amd64 5.64-0ubuntu1.3
2024-06-07 10:42:35 startup packages configure
2024-06-07 10:42:35 configure bluez-cups:amd64 5.64-0ubuntu1.3 <none>
2024-06-07 10:42:35 status unpacked bluez-cups:amd64 5.64-0ubuntu1.3
2024-06-07 10:42:35 status half-configured bluez-cups:amd64 5.64-0ubuntu1.3
